				Healthy						Sick					
P28072	Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4	0.011	0.038	0.551	0.063	0.117	0.120	0.128	0.116	1.103	0.498	0.504	0.778	0.341	0.171
P22105	Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=4	0.032	0.084	3.339	1.941	2.428	2.188	1.735	1.529	0.241	0.106	1.980	1.085	0.213	1.414
O00592	Podocalyxin OS=Homo sapiens GN=PODXL PE=1 SV=2	0.026	0.072	0.637	0.308	0.697	1.231	1.075	1.018	1.950	1.331	1.485	1.000	2.319	1.113
Q9NY15	Stabilin-1 OS=Homo sapiens GN=STAB1 PE=1 SV=3	0.000	0.004	1.285	1.160	0.937	0.996	1.239	1.425	0.702	0.652	0.740	0.874	0.669	0.506
Q9Y5C1	Angiopoietin-related protein 3 OS=Homo sapiens GN=ANGPTL3 PE=1 SV=1	0.896	0.928	0.498	0.164	0.318	0.536	0.971	0.981	0.852	0.652	0.654	0.376	0.374	0.337
P07451	Carbonic anhydrase 3 OS=Homo sapiens GN=CA3 PE=1 SV=3	0.002	0.013	0.145	0.155	0.010	0.058	0.112	0.063	2.056	2.717	1.936	0.134	0.646	0.512
Q93088	Betaine--homocysteine S-methyltransferase 1 OS=Homo sapiens GN=BHMT PE=1 SV=2	0.355	0.487	0.686	0.257	0.357	0.289	0.323	0.300	1.100	0.596	0.717	0.356	0.272	0.216
Q8NEL9	Phospholipase DDHD1 OS=Homo sapiens GN=DDHD1 PE=1 SV=2	0.795	0.864	1.639	2.580	0.837	0.679	1.117	0.908	1.189	0.534	1.567	1.038	2.504	1.502
P14923	Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3	0.077	0.159	1.775	1.648	0.686	1.306	0.973	1.661	0.429	1.202	1.419	0.365	0.932	0.647
P05556	Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2	0.213	0.338	0.485	0.360	1.407	1.374	1.361	1.402	1.592	2.255	3.232	1.122	1.021	0.733
P01040	Cystatin-A OS=Homo sapiens GN=CSTA PE=1 SV=1	0.001	0.006	1.090	1.057	0.920	1.398	1.108	1.146	0.662	0.706	0.920	0.875	0.702	0.721
P22528	Cornifin-B OS=Homo sapiens GN=SPRR1B PE=1 SV=2	0.022	0.063	0.055	0.090	0.043	0.227	0.671	1.664	0.643	1.521	0.821	1.265	4.832	1.155
P09488	Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=1 SV=3	0.002	0.013	1.262	1.499	1.285	1.316	1.684	1.999	0.518	0.832	0.747	0.645	0.228	0.559
P55103	Inhibin beta C chain OS=Homo sapiens GN=INHBC PE=2 SV=1	0.001	0.006	3.707	0.999	3.480	0.731	1.334	2.994	0.265	0.705	0.230	0.116	0.453	0.231
O94919	Endonuclease domain-containing 1 protein OS=Homo sapiens GN=ENDOD1 PE=1 SV=2	0.030	0.081	0.634	0.790	3.959	1.101	1.985	1.013	0.404	0.594	0.581	0.335	0.904	0.718
P04745	Alpha-amylase 1 OS=Homo sapiens GN=AMY1A PE=1 SV=2	0.087	0.172	1.298	1.094	0.616	1.756	2.310	0.966	0.816	0.698	1.003	1.004	0.435	0.954
Q9NZ08	Endoplasmic reticulum aminopeptidase 1 OS=Homo sapiens GN=ERAP1 PE=1 SV=3	0.695	0.785	0.645	0.609	0.866	1.011	1.297	1.170	0.729	1.220	1.319	1.094	1.003	0.620
P02144	Myoglobin OS=Homo sapiens GN=MB PE=1 SV=2	0.009	0.033	0.626	1.000	3.285	1.374	2.430	1.140	0.325	0.355	0.738	0.506	0.704	0.706
P0DJD7	Pepsin A-4 OS=Homo sapiens GN=PGA4 PE=1 SV=1	0.060	0.131	0.687	0.471	0.644	0.678	0.433	0.681	1.486	1.105	0.594	0.852	0.583	0.804
P35443	Thrombospondin-4 OS=Homo sapiens GN=THBS4 PE=1 SV=2	0.000	0.003	1.073	1.002	1.554	1.520	0.917	1.171	0.288	0.633	0.487	0.620	0.350	0.393
Q13867	Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1	0.017	0.054	2.001	1.965	1.376	2.239	1.276	1.326	0.569	1.338	1.609	0.484	0.359	0.719
P15924	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	0.230	0.357	0.699	0.451	0.902	0.437	0.618	0.513	0.406	0.728	0.793	0.281	0.335	0.350
Q96P63	Serpin B12 OS=Homo sapiens GN=SERPINB12 PE=1 SV=1	0.001	0.007	0.186	0.082	0.063	0.021	0.038	0.023	0.488	0.459	0.371	0.535	0.137	0.867
P06753	Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=2	0.110	0.207	1.249	1.142	1.218	1.019	0.774	1.189	0.780	1.214	0.610	0.559	1.305	0.615
P49913	Cathelicidin antimicrobial peptide OS=Homo sapiens GN=CAMP PE=1 SV=1	0.883	0.922	0.880	0.632	1.294	1.421	1.555	1.131	0.858	1.433	1.122	1.171	0.859	1.121
Q9BXR6	Complement factor H-related protein 5 OS=Homo sapiens GN=CFHR5 PE=1 SV=1	0.931	0.952	0.997	0.927	0.852	1.073	0.892	1.076	0.702	1.365	1.147	1.186	1.171	0.575
Q9BYE4	Small proline-rich protein 2G OS=Homo sapiens GN=SPRR2G PE=3 SV=1	0.590	0.699	2.121	0.799	3.829	0.520	0.943	0.723	0.981	1.279	3.877	0.679	0.519	0.269
P28065	Proteasome subunit beta type-9 OS=Homo sapiens GN=PSMB9 PE=1 SV=2	0.004	0.018	0.530	0.543	0.569	0.503	0.468	0.541	1.056	1.203	2.038	1.069	0.643	1.717
Q16853	Membrane primary amine oxidase OS=Homo sapiens GN=AOC3 PE=1 SV=3	0.038	0.095	0.701	0.525	0.379	0.511	0.643	0.496	0.693	0.861	0.924	0.901	0.627	0.498
P50440	Glycine amidinotransferase, mitochondrial OS=Homo sapiens GN=GATM PE=1 SV=1	0.001	0.010	0.056	0.138	0.125	0.143	0.196	0.140	0.596	0.246	0.601	0.712	0.222	0.329
Q08722	Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47 PE=1 SV=1	0.903	0.934	0.911	1.397	0.673	0.421	0.906	0.559	0.796	0.661	1.269	0.951	0.708	0.479
P32942	Intercellular adhesion molecule 3 OS=Homo sapiens GN=ICAM3 PE=1 SV=2	0.871	0.914	0.767	0.155	0.296	0.127	0.137	0.182	0.982	0.292	0.456	0.094	0.233	0.064
P23490	Loricrin OS=Homo sapiens GN=LOR PE=1 SV=2	0.012	0.043	1.560	2.276	1.194	1.171	1.079	0.953	0.930	0.608	1.078	0.964	0.508	0.674
P03951	Coagulation factor XI OS=Homo sapiens GN=F11 PE=1 SV=1	0.665	0.769	1.718	0.993	2.697	0.853	0.950	0.767	0.844	1.194	1.212	1.146	1.603	0.678
Q9BTY2	Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2 PE=1 SV=2	0.477	0.603	0.669	0.237	0.347	1.061	0.804	1.032	0.599	0.365	0.592	1.929	0.689	1.344
P47929	Galectin-7 OS=Homo sapiens GN=LGALS7 PE=1 SV=2	0.388	0.516	0.934	0.924	0.890	1.024	1.060	1.163	0.581	1.177	0.836	1.024	1.150	0.737
P04278	Sex hormone-binding globulin OS=Homo sapiens GN=SHBG PE=1 SV=2	0.253	0.380	0.041	0.067	0.077	3.070	0.991	0.807	1.589	0.429	2.063	0.411	0.949	0.355
Q8WZ75	Roundabout homolog 4 OS=Homo sapiens GN=ROBO4 PE=1 SV=1	0.002	0.011	0.730	0.584	3.530	1.126	1.470	3.755	0.143	0.326	0.296	0.194	0.373	0.254
P09210	Glutathione S-transferase A2 OS=Homo sapiens GN=GSTA2 PE=1 SV=4	0.013	0.043	1.696	1.511	2.513	2.907	2.286	1.015	0.978	1.204	1.163	1.002	0.465	1.264
P0C0L4	Complement C4-A OS=Homo sapiens GN=C4A PE=1 SV=2	0.000	0.001	0.750	0.527	0.567	0.512	0.488	0.422	1.521	1.339	1.314	1.806	1.546	0.994
P00367	Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2	0.099	0.191	1.525	1.987	0.553	1.493	1.250	2.007	0.654	0.778	1.446	1.445	0.443	0.672
P15144	Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4	0.001	0.009	1.789	1.334	1.385	1.647	1.040	1.615	0.455	0.805	0.807	1.107	0.678	0.741
P36980	Complement factor H-related protein 2 OS=Homo sapiens GN=CFHR2 PE=1 SV=1	0.145	0.253	0.565	1.343	1.359	1.198	2.146	1.599	0.771	0.689	0.636	1.493	1.147	0.845
P0C0L5	Complement C4-B OS=Homo sapiens GN=C4B PE=1 SV=2	0.013	0.043	2.298	3.058	3.201	2.892	0.624	0.903	0.651	1.001	1.107	0.251	0.380	0.113
P43121	Cell surface glycoprotein MUC18 OS=Homo sapiens GN=MCAM PE=1 SV=2	0.017	0.054	0.521	0.507	0.717	0.392	0.685	1.365	1.685	1.105	1.392	0.596	1.630	1.878
Q92686	Neurogranin OS=Homo sapiens GN=NRGN PE=1 SV=1	0.029	0.079	1.078	1.487	1.079	1.467	1.258	1.395	0.462	1.172	0.810	1.043	0.512	1.041
Q99969	Retinoic acid receptor responder protein 2 OS=Homo sapiens GN=RARRES2 PE=1 SV=1	0.035	0.089	1.041	0.458	0.910	0.280	0.416	0.318	0.248	0.390	0.452	0.087	0.183	0.182
Q96QA5	Gasdermin-A OS=Homo sapiens GN=GSDMA PE=1 SV=4	0.018	0.056	0.528	0.320	0.478	0.393	0.462	0.384	1.560	0.973	1.261	0.639	0.655	0.411
P33151	Cadherin-5 OS=Homo sapiens GN=CDH5 PE=1 SV=5	0.586	0.697	1.115	0.954	1.281	1.179	1.125	1.322	1.099	1.592	1.074	1.027	0.409	1.491
Q9BXW9	Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2 PE=1 SV=2	0.483	0.610	0.954	0.780	0.816	0.454	0.487	0.363	1.398	1.691	0.904	0.556	0.374	0.417
P30041	Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3	0.621	0.730	0.305	0.541	0.918	0.443	0.621	0.461	0.903	0.576	0.628	0.365	0.296	0.252
P16157	Ankyrin-1 OS=Homo sapiens GN=ANK1 PE=1 SV=3	0.080	0.162	3.026	1.444	1.962	0.501	1.929	0.945	0.101	1.301	1.083	0.537	0.042	0.948
Q9H4M9	EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2	0.102	0.196	0.438	0.063	0.020	0.046	0.042	0.017	5.308	0.067	0.292	0.283	0.071	0.078
Q15485	Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2	0.763	0.843	0.961	0.110	0.105	0.011	0.017	0.025	0.552	0.108	0.291	0.037	0.028	0.015
P11169	Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens GN=SLC2A3 PE=1 SV=1	0.430	0.559	0.963	1.059	1.238	1.201	1.901	1.681	0.839	1.361	1.233	1.892	0.668	1.090
O43278	Kunitz-type protease inhibitor 1 OS=Homo sapiens GN=SPINT1 PE=1 SV=2	0.039	0.097	1.501	1.347	1.340	1.150	1.602	1.734	0.980	0.856	0.541	1.217	0.763	1.598
Q53GG5	PDZ and LIM domain protein 3 OS=Homo sapiens GN=PDLIM3 PE=1 SV=1	0.829	0.888	1.127	0.175	0.068	0.010	0.011	0.014	0.148	0.118	0.167	0.020	0.010	0.010
Q9HCL0	Protocadherin-18 OS=Homo sapiens GN=PCDH18 PE=2 SV=3	0.992	0.993	1.001	0.676	0.826	0.973	1.029	1.228	0.688	1.220	1.225	1.099	0.787	0.766
O43157	Plexin-B1 OS=Homo sapiens GN=PLXNB1 PE=1 SV=3	0.362	0.495	0.708	0.596	0.441	0.571	0.447	0.542	1.180	0.943	0.683	0.590	0.389	0.447
Q4G148	Glucoside xylosyltransferase 1 OS=Homo sapiens GN=GXYLT1 PE=1 SV=2	0.040	0.098	0.840	0.757	2.268	1.246	1.571	1.016	0.643	0.732	0.879	0.523	0.842	0.931
Q9ULI3	Protein HEG homolog 1 OS=Homo sapiens GN=HEG1 PE=1 SV=3	0.000	0.005	1.482	1.089	0.986	2.137	1.764	1.623	0.616	0.708	0.797	0.752	0.481	0.674
P55259	Pancreatic secretory granule membrane major glycoprotein GP2 OS=Homo sapiens GN=GP2 PE=2 SV=3	0.885	0.922	0.584	0.565	1.270	0.497	0.905	0.673	0.695	0.609	1.086	0.690	0.617	0.555
O15204	ADAM DEC1 OS=Homo sapiens GN=ADAMDEC1 PE=1 SV=2	0.307	0.437	0.632	0.085	0.074	0.102	0.090	0.050	1.328	0.168	0.212	0.250	0.060	0.099
P81605	Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2	0.105	0.199	1.378	0.412	2.756	1.537	1.902	1.265	0.801	1.301	0.899	0.613	0.363	0.897
P13598	Intercellular adhesion molecule 2 OS=Homo sapiens GN=ICAM2 PE=1 SV=2	0.219	0.344	0.613	0.630	1.558	1.137	1.353	1.574	0.685	0.949	1.108	0.848	0.736	0.668
P07954	Fumarate hydratase, mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3	0.005	0.022	0.415	0.337	0.281	0.402	0.329	0.308	0.742	0.545	0.705	0.709	0.443	0.381
P49747	Cartilage oligomeric matrix protein OS=Homo sapiens GN=COMP PE=1 SV=2	0.006	0.025	0.473	0.108	0.428	0.366	0.498	0.392	5.498	0.794	1.432	0.834	1.254	0.825
P12955	Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3	0.458	0.587	0.128	0.460	1.632	0.677	1.031	0.592	0.831	0.837	1.206	0.582	0.781	0.606
P20930	Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3	0.870	0.914	0.820	0.716	0.763	0.783	1.830	0.915	0.600	1.012	0.925	1.316	1.186	0.806
P12532	Creatine kinase U-type, mitochondrial OS=Homo sapiens GN=CKMT1A PE=1 SV=1	0.007	0.027	0.478	0.355	0.738	0.732	1.041	0.865	1.209	1.890	1.470	1.183	1.537	0.861
Q08188	Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens GN=TGM3 PE=1 SV=4	0.106	0.202	1.142	1.027	0.851	0.484	1.526	1.775	0.418	1.141	0.861	0.764	0.362	0.718
Q13308	Inactive tyrosine-protein kinase 7 OS=Homo sapiens GN=PTK7 PE=1 SV=2	0.052	0.119	0.484	0.101	0.185	0.180	0.293	0.285	1.167	0.458	0.629	0.394	0.407	0.192
Q6EMK4	Vasorin OS=Homo sapiens GN=VASN PE=1 SV=1	0.000	0.003	1.304	1.338	1.061	2.115	2.074	1.824	0.368	0.406	0.566	0.644	0.198	0.469
Q9Y5Y7	Lymphatic vessel endothelial hyaluronic acid receptor 1 OS=Homo sapiens GN=LYVE1 PE=1 SV=2	0.045	0.108	0.868	1.359	2.809	1.364	2.631	0.927	1.227	1.021	0.862	0.405	0.810	0.878
Q9HCY8	Protein S100-A14 OS=Homo sapiens GN=S100A14 PE=1 SV=1	0.330	0.461	0.397	1.104	0.786	1.161	0.617	1.255	0.216	0.267	0.896	0.819	0.810	1.112
Q92496	Complement factor H-related protein 4 OS=Homo sapiens GN=CFHR4 PE=1 SV=3	0.078	0.159	0.809	0.952	3.501	1.040	2.103	1.039	0.450	0.825	0.962	0.584	1.208	0.888
Q7Z4W1	L-xylulose reductase OS=Homo sapiens GN=DCXR PE=1 SV=2	0.623	0.731	0.859	0.974	0.922	0.953	1.018	1.300	0.851	1.299	0.787	1.007	0.528	1.314
P10643	Complement component C7 OS=Homo sapiens GN=C7 PE=1 SV=2	0.518	0.637	1.192	0.910	1.195	1.223	1.248	1.291	1.030	1.626	1.121	1.027	0.464	1.344
P55058	Phospholipid transfer protein OS=Homo sapiens GN=PLTP PE=1 SV=1	0.006	0.027	0.617	0.564	0.268	0.563	0.480	0.576	0.790	0.817	0.965	1.307	1.349	0.576
P22735	Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens GN=TGM1 PE=1 SV=4	0.917	0.943	0.756	1.144	0.730	1.230	0.888	0.990	0.707	1.076	0.937	1.278	0.779	0.889
P02549	Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens GN=SPTA1 PE=1 SV=5	0.865	0.914	0.533	0.394	0.611	0.447	0.844	0.667	0.814	0.917	0.844	0.532	0.393	0.308
O95831	Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1	0.420	0.549	0.494	0.535	2.428	0.833	1.847	1.303	1.252	0.842	1.245	0.596	0.598	0.574
P23470	Receptor-type tyrosine-protein phosphatase gamma OS=Homo sapiens GN=PTPRG PE=1 SV=4	0.784	0.860	0.724	0.375	1.206	1.329	1.590	1.104	0.869	1.200	1.047	1.190	1.019	0.848
P31947	14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1	0.039	0.097	0.268	0.599	0.234	0.818	1.366	1.009	0.182	0.257	0.149	0.339	0.345	0.364
P09619	Platelet-derived growth factor receptor beta OS=Homo sapiens GN=PDGFRB PE=1 SV=1	0.001	0.010	0.701	0.551	0.538	0.945	0.682	0.626	1.321	1.613	0.990	0.859	1.090	1.092
P07355	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	0.289	0.421	0.992	0.963	1.143	0.240	0.137	0.224	1.307	1.136	1.324	0.549	0.385	0.411
Q9NZP8	Complement C1r subcomponent-like protein OS=Homo sapiens GN=C1RL PE=1 SV=2	0.229	0.356	1.704	4.583	1.026	1.092	1.657	1.288	0.755	0.691	1.797	1.430	1.579	1.038
P25705	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1	0.126	0.229	0.378	0.065	0.256	0.192	0.341	0.253	1.989	0.576	0.679	0.227	0.267	0.195
Q99983	Osteomodulin OS=Homo sapiens GN=OMD PE=1 SV=1	0.047	0.111	0.549	0.723	1.732	0.760	1.533	1.152	0.502	0.762	0.929	0.546	0.493	0.452
Q14247	Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2	0.272	0.400	2.053	3.148	0.661	0.595	1.350	0.595	0.982	0.609	1.258	0.866	0.559	0.560
P00736	Complement C1r subcomponent OS=Homo sapiens GN=C1R PE=1 SV=2	0.005	0.022	0.767	0.911	3.093	1.132	2.302	1.375	0.379	0.518	0.459	0.503	0.613	0.681
P27105	Erythrocyte band 7 integral membrane protein OS=Homo sapiens GN=STOM PE=1 SV=3	0.025	0.069	0.743	0.843	3.703	1.095	2.367	1.416	0.353	0.607	0.745	0.448	1.125	0.739
P18206	Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4	0.456	0.585	0.544	0.518	0.641	0.886	0.849	0.763	0.686	0.513	0.536	0.632	0.863	0.572
Q9HBI1	Beta-parvin OS=Homo sapiens GN=PARVB PE=1 SV=1	0.066	0.142	0.425	0.852	0.870	0.561	0.623	0.598	0.678	0.754	1.434	1.053	0.893	0.702
P05534	HLA class I histocompatibility antigen, A-24 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2	0.061	0.131	0.645	0.589	0.634	0.670	0.619	0.659	0.543	0.884	0.735	2.075	1.079	1.842
Q13332	Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens GN=PTPRS PE=1 SV=3	0.000	0.002	0.059	0.056	0.044	0.037	0.091	0.029	0.680	0.891	0.200	0.603	0.249	0.242
P08519	Apolipoprotein(a) OS=Homo sapiens GN=LPA PE=1 SV=1	0.229	0.356	1.423	2.320	1.012	0.141	0.784	2.705	1.729	0.398	0.290	0.859	0.247	0.385
P01137	Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2	0.139	0.247	0.231	0.354	0.679	0.640	0.862	0.862	0.724	0.792	1.230	0.810	0.766	0.645
P51884	Lumican OS=Homo sapiens GN=LUM PE=1 SV=2	0.057	0.127	0.730	0.774	0.265	0.554	0.592	0.600	0.749	0.699	0.869	1.423	1.132	0.584
Q99784	Noelin OS=Homo sapiens GN=OLFM1 PE=1 SV=4	0.319	0.449	0.977	0.157	0.187	0.053	0.140	0.012	0.543	0.113	0.108	0.013	0.010	0.010
P05165	Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens GN=PCCA PE=1 SV=4	0.124	0.225	0.500	0.131	0.242	0.214	0.261	0.210	2.655	0.694	0.667	0.405	0.175	0.215
Q08ET2	Sialic acid-binding Ig-like lectin 14 OS=Homo sapiens GN=SIGLEC14 PE=1 SV=1	0.010	0.034	0.518	0.404	0.460	0.689	0.546	0.419	0.536	1.018	0.814	1.450	0.990	0.670
Q9UNW1	Multiple inositol polyphosphate phosphatase 1 OS=Homo sapiens GN=MINPP1 PE=1 SV=1	0.001	0.008	1.267	1.394	3.190	1.958	3.028	1.254	0.563	0.790	0.725	0.527	0.692	0.567
Q6UY14	ADAMTS-like protein 4 OS=Homo sapiens GN=ADAMTSL4 PE=1 SV=2	0.000	0.001	0.397	0.305	0.324	0.456	0.391	0.340	1.026	1.555	0.909	1.588	1.307	0.860
P36957	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4	0.017	0.054	0.113	0.102	0.071	0.029	0.055	0.032	0.789	1.289	1.133	0.049	0.128	0.350
P06681	Complement C2 OS=Homo sapiens GN=C2 PE=1 SV=2	0.001	0.006	1.016	0.709	1.248	0.648	1.176	1.080	0.442	0.553	0.549	0.322	0.240	0.279
O95497	Pantetheinase OS=Homo sapiens GN=VNN1 PE=1 SV=2	0.001	0.010	1.149	0.928	1.423	1.203	1.598	1.158	0.554	0.469	1.066	0.531	0.436	0.390
Q96A32	Myosin regulatory light chain 2, skeletal muscle isoform OS=Homo sapiens GN=MYLPF PE=2 SV=1	0.652	0.759	0.891	0.671	1.392	1.084	1.300	1.100	1.042	0.683	1.489	1.012	1.342	1.405
P14151	L-selectin OS=Homo sapiens GN=SELL PE=1 SV=2	0.013	0.045	0.346	0.036	0.152	0.311	0.194	0.339	2.685	0.641	1.059	0.575	0.427	0.371
P24844	Myosin regulatory light polypeptide 9 OS=Homo sapiens GN=MYL9 PE=1 SV=4	0.543	0.661	0.741	0.408	0.252	0.143	0.224	0.181	0.654	0.281	0.708	0.269	0.272	0.166
Q5D862	Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1	0.123	0.225	0.879	0.661	1.454	0.464	0.735	0.546	0.407	0.440	0.719	0.413	0.685	0.583
Q93070	Ecto-ADP-ribosyltransferase 4 OS=Homo sapiens GN=ART4 PE=2 SV=2	0.496	0.622	1.255	0.806	0.974	1.294	1.068	1.530	1.085	0.256	0.395	1.585	1.135	2.252
P26927	Hepatocyte growth factor-like protein OS=Homo sapiens GN=MST1 PE=1 SV=2	0.000	0.002	1.368	1.330	1.389	1.644	1.674	1.344	0.718	0.903	0.821	1.033	0.699	0.683
P23142	Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4	0.112	0.208	0.454	0.151	0.199	0.252	0.419	0.428	3.199	0.764	0.914	0.371	0.278	0.279
Q9H299	SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1	0.000	0.001	0.086	0.183	0.098	0.109	0.173	0.184	1.898	1.828	0.584	3.019	0.832	1.500
P54802	Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2	0.293	0.424	1.298	1.147	1.168	1.380	1.108	1.087	0.433	1.260	1.202	1.150	1.187	0.978
P22792	Carboxypeptidase N subunit 2 OS=Homo sapiens GN=CPN2 PE=1 SV=3	0.813	0.879	0.877	0.964	1.236	1.423	0.726	1.244	0.643	2.353	1.125	0.899	1.066	1.109
P31944	Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2	0.489	0.616	0.703	0.703	4.353	1.794	2.577	1.187	1.127	1.093	1.640	1.589	0.616	1.396
Q92820	Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2	0.116	0.214	1.105	1.279	0.783	0.975	1.044	1.210	0.771	1.069	0.999	0.894	0.971	0.656
O43866	CD5 antigen-like OS=Homo sapiens GN=CD5L PE=1 SV=1	0.001	0.008	1.416	1.225	0.802	1.130	1.659	1.498	0.474	0.852	0.646	0.834	0.431	0.520
Q2TB10	Zinc finger protein 800 OS=Homo sapiens GN=ZNF800 PE=1 SV=1	0.370	0.502	0.774	1.648	1.494	0.664	0.952	0.933	0.476	0.536	1.329	1.068	1.005	0.884
P35542	Serum amyloid A-4 protein OS=Homo sapiens GN=SAA4 PE=1 SV=2	0.050	0.116	0.797	0.785	2.393	0.900	1.792	1.125	0.500	0.539	0.807	1.007	0.834	0.724
P12882	Myosin-1 OS=Homo sapiens GN=MYH1 PE=1 SV=3	0.257	0.385	1.368	2.091	0.809	0.619	1.408	0.781	0.816	0.573	1.552	1.083	0.554	0.577
P04083	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	0.467	0.594	1.361	0.909	1.178	1.799	1.193	0.663	1.107	1.157	1.954	2.043	0.806	1.258
Q9NPG4	Protocadherin-12 OS=Homo sapiens GN=PCDH12 PE=1 SV=1	0.444	0.573	1.148	1.410	0.789	0.806	0.801	0.806	0.598	0.801	1.389	0.665	0.799	0.888
Q8N6C8	Leukocyte immunoglobulin-like receptor subfamily A member 3 OS=Homo sapiens GN=LILRA3 PE=1 SV=3	0.057	0.127	0.840	0.677	0.512	0.739	0.797	0.674	0.695	0.943	1.554	0.848	1.184	0.753
P13929	Beta-enolase OS=Homo sapiens GN=ENO3 PE=1 SV=5	0.008	0.030	0.942	0.504	0.768	0.339	0.256	0.219	1.763	1.814	2.661	1.113	0.521	1.130
Q92859	Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2	0.003	0.014	1.579	1.501	1.709	1.762	2.154	1.693	0.623	0.456	0.760	0.997	1.215	1.012
Q99941	Cyclic AMP-dependent transcription factor ATF-6 beta OS=Homo sapiens GN=ATF6B PE=1 SV=2	0.691	0.784	0.756	0.327	0.894	0.469	1.002	0.826	0.455	0.691	1.131	0.562	0.413	0.591
P06732	Creatine kinase M-type OS=Homo sapiens GN=CKM PE=1 SV=2	0.334	0.466	1.862	1.422	6.224	0.921	1.310	1.018	2.626	1.743	0.774	1.041	0.877	0.723
Q9NZK5	Adenosine deaminase CECR1 OS=Homo sapiens GN=CECR1 PE=1 SV=2	0.222	0.348	1.583	1.025	2.683	1.372	2.759	1.755	0.645	1.074	1.000	2.028	2.406	1.175
Q13421	Mesothelin OS=Homo sapiens GN=MSLN PE=1 SV=2	0.001	0.007	0.270	0.115	0.094	0.266	0.342	0.222	0.883	0.775	0.977	0.886	0.952	0.758
Q7Z7G0	Target of Nesh-SH3 OS=Homo sapiens GN=ABI3BP PE=1 SV=1	0.455	0.585	0.137	0.478	1.495	0.592	1.173	0.910	0.792	0.880	0.879	0.694	0.779	1.038
O75636	Ficolin-3 OS=Homo sapiens GN=FCN3 PE=1 SV=2	0.252	0.380	0.359	0.089	0.140	0.075	0.139	0.110	2.899	0.533	0.406	0.126	0.099	0.067
P02786	Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2	0.108	0.205	0.405	0.264	0.268	0.875	0.714	0.743	0.664	0.702	1.747	1.075	0.798	0.426
Q9H0U4	Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1	0.034	0.088	1.467	1.217	0.837	1.232	1.447	1.053	0.683	0.771	1.047	1.050	1.057	0.832
Q15223	Nectin-1 OS=Homo sapiens GN=NECTIN1 PE=1 SV=3	0.517	0.637	0.226	0.262	0.453	0.671	1.063	0.982	0.571	0.404	0.416	1.250	0.710	0.811
